,date,sentences
10,2010-02-11,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을운용하기로 하였음', '최근 국내 경기는 수출과 내수가 꾸준히 증가하고 생산활동이 활발한 모습을 보이는 등 회복세를 지속하고 있으며앞으로도 이와 같은 추세가 이어질 것으로 전망됨.', '다만일부 유럽국가의 재정위기 우려 등으로 향후 성장경로의불확실성은 상존하고 있는 것으로 판단됨', '소비자물가는 오름세가 확대되었으나 최근의 국제원자재가격 움직임 등에 비추어 앞으로 안정된 모습을 보일 것으로 예상됨.', '부동산가격은 오름세가 제한되고 있음', '금융시장에서는 해외 불안요인의 영향으로 환율과 주가등 가격변수가 큰 폭의 변동을 보였으며 주택담보대출은계절요인 등으로 증가폭이 축소되었음', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세 지속에 도움이 되는 방향으로 운용해 나갈 것임']"
11,2010-03-11,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을운용하기로 하였음', '최근 국내 경기는 수출이 확대되고 내수가 꾸준히 증가하는등 회복세를 지속하고 있으며 앞으로도 이와 같은 추세가이어질 것으로 전망됨.', '다만 일부 국가의 과다채무 문제등으로 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨', '소비자물가는 상승세가 다소 둔화되었으며 최근의 국제원자재가격 움직임 등에 비추어 당분간 안정된 모습을 보일것으로 예상됨.', '부동산 시장에서는 가격이 완만하게 상승하였으나 거래는 부진하였음', '금융시장에서는 일부 유럽국가의 재정위기 등 해외 불안요인이 완화되면서 주가가 반등하고 환율이 하락하였으며주택담보대출은 계절요인 등으로 소폭 증가에 그쳤음', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세 지속에 도움이 되는 방향으로 운용해 나갈 것임']"
12,2010-04-09,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을운용하기로 하였음', '세계경제는 신흥시장국 경제가 호조를 보이고 있는 가운데 미국, 일본 등 주요 선진국 경제의 개선 추세가 다소강화되는 움직임을 나타내고 있음.', '다만 일부 유럽국가의재정문제 등 위험요인이 잠재하고 있음', '국내 경기는 건설투자가 다소 부진한 모습이나 수출이 호조를 보이고 소비와 설비투자도 꾸준히 증가하는 등 회복세를 지속하고 있음', '국내 경기의 회복세는 앞으로도 이어질 것으로 전망되나해외 위험요인 등에 비추어 향후 성장경로의 불확실성은상존하고 있는 것으로 판단됨', '소비자물가는 서비스가격을 중심으로 상승세가 둔화되었으며 당분간 안정된 모습을 보일 것으로 예상됨.', '부동산시장에서는 거래가 활발하지 않은 가운데 가격 오름세가제한되고 있음', '금융시장에서는 외국인 증권투자자금 유입이 확대되는 가운데 주가가 상승하고 장단기 시장금리가 하락하였음.', '주택담보대출은 대출금리 하락, 입주·분양물량 증가 등의 영향으로 증가규모가 소폭 확대되었음', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세 지속에 도움이 되는 방향으로 운용하되 국내외금융경제상황을 종합적으로 고려해 나갈 것임']"
13,2010-05-12,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였다.', '세계경제는 신흥시장국 경제가 호조를 지속하고 있는 가운데 미국,일본 등 주요 선진국 경제도 개선추세를 보이고 있다.', '다만 남유럽국가들의 재정문제가 근본적으로 해결되지 않음에 따라 국제금융시장이 수시로 불안한 움직임을 나타낼 위험이 잠재하고 있다.', '국내 경기는 회복세가 뚜렷해지고 있는 모습이다.', '건설투자가 여전히 부진하나 수출이 호조를 지속하고 설비투자와 소비도 꾸준히늘어나고 있으며 고용사정도 민간부문을 중심으로 개선되고 있다.', '국내 경기의 회복세는 앞으로도 이어질 것으로 전망되나 해외 위험요인 등에 비추어 향후 성장경로의 불확실성은 상존하고 있는것으로 판단된다.', '소비자물가는 이상기후에 따른 농축수산물가격 상승 등으로 오름세가 일시 확대되었다.', '앞으로 물가는 당분간 안정된 모습을 보일것이나 경기회복으로 수요압력이 점차 증대될 것으로 예상된다.', '부동산시장에서는 거래가 활발하지 않은 가운데 수도권을 중심으로주택매매가격이 약세를 나타내었다.', '금융시장에서는 외국인 증권투자자금 유입 확대와 함께 장단기 시장금리가 하락하였으나 남유럽국가 재정문제 등으로 가격변수의변동성이 크게 확대되었다.', '주택담보대출은 대출금리 하락에도 불구하고 주택거래 부진 등의 영향으로 증가규모에 변화를 보이지않고 있다.', '앞으로 통화정책은 금융완화기조를 유지하면서 경기회복세 지속에도움이 되는 방향으로 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.']"
14,2010-06-10,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였다.', '세계경제는 신흥시장국 경제가 호조를 지속하고 있는 가운데 미국,일본 등 주요 선진국 경제도 개선 움직임을 이어가고 있다.', '그러나일부 유럽국가의 재정문제로 인해 국제금융시장이 수시로 불안한모습을 나타내고 그 영향이 세계경제의 회복세에 미칠 위험이 잠재하고 있다.', '국내경기는 상승세를 지속하고 있는 것으로 보인다.', '소비, 투자 등내수의 증가세가 일시 주춤한 모습이나 수출이 호조를 지속하고고용사정도 민간부문을 중심으로 한층 개선되고 있다.', '국내경기의 상승세는 앞으로도 이어질 것으로 전망되나 해외 위험요인 등에 비추어 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단된다.', '소비자물가는 석유류가격을 중심으로 오름세가 소폭 확대되었으며앞으로 경기상승세가 지속되면서 수요압력이 점차 증대될 것으로예상된다.', '부동산시장에서는 수도권을 중심으로 주택매매가격이 약세를 보이고 있다.', '금융시장에서는 일부 유럽국가 재정문제, 한반도의 지정학적 위험증대 등으로 주가와 환율 등 가격변수가 큰 폭으로 변동하였다.', '주택담보대출은 주택거래가 활발하지 않았음에도 불구하고 대출금리하락 등의 영향으로 증가규모가 소폭 확대되었다.', '앞으로 통화정책은 금융완화기조를 유지하면서 우리 경제가 물가안정의 기조 위에서 견조한 성장을 지속할 수 있도록 하는 방향으로 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해나갈 것이다.']"
15,2010-07-09,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 .%', '에서 .%', '로 상향 조정하여 통화정책을 운용하기로 하였다.', '세계경제는 신흥시장국 경제의 호조가 지속되는 가운데 미국 등주요 선진국 경제도 대체로 회복세를 이어가고 있다.', '다만 일부유럽국가의 재정문제로 인한 국제금융시장 불안, 주요국 경기의변동성 확대 등이 수시로 재연될 위험성을 배제할 수 없다.', '국내경기는 상승세를 지속하고 있다.', '수출이 높은 신장세를 보이고소비, 투자 등 내수가 꾸준히 증가하고 있으며 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다.', '앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승세를 이어갈 것으로 전망된다.', '소비자물가는 상승률이 %대 중후반에 머물고 있으나 앞으로 경기상승세 지속에 따른 수요압력 증대 등으로 상승압력이 계속 커질것으로 예상된다.', '부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 추세가 지속되고 있다.', '금융시장에서는 장기시장금리가 국내경기 상황 등을 반영하여 상승하였으며 주가와 환율은 해외 불안요인의 영향 등으로 큰 폭의변동을 나타내었다.', '주택담보대출은 주택거래가 활발하지 않았음에도 불구하고 낮은 대출금리 등의 영향으로 증가규모가 확대되었다.', '앞으로 통화정책은 금융완화기조를 유지하면서 우리 경제가 물가안정의 기조 위에서 견조한 성장을 지속할 수 있도록 하는 방향으로 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해나갈 것이다.']"
16,2010-08-12,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였다.', '세계경제는 신흥시장국 경제가 호조를 지속하고 있는 가운데 주요선진국 경제도 대체로 회복세를 이어가고 있다.', '일부 유럽국가의재정문제로 인한 국제금융시장 불안은 완화되었으나 주요국 경기의변동성 확대 등이 위험요인으로 작용할 가능성을 배제할 수 없다.', '국내경기는 상승세를 지속하고 있다.', '수출이 계속 호조를 보이고소비, 투자 등 내수가 꾸준히 증가하고 있으며 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다.', '앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승세를 이어갈 것으로 전망된다.', '소비자물가는 상승률이 %대 중후반에 머물고 있으나 앞으로 경기상승세 지속에 따른 수요압력 증대 등으로 상승압력이 계속 커질것으로 예상된다.', '부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 추세가 지속되고 있다.', '금융시장에서는 기준금리 인상의 영향 등으로 단기시장금리와 은행 여수신금리가 상승하였으며, 한편 외국인 증권투자자금이 큰 폭으로 유입되는 가운데 주가가 상승하였다.', '주택담보대출은 주택거래가 활발하지 않았음에도 불구하고 낮은 대출금리 등의 영향으로꾸준히 증가하였다.', '앞으로 통화정책은 우리 경제가 금융완화기조하에서 견조한 성장을 지속하는 가운데 물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.']"
17,2010-09-09,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였다.', '세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 미국 등의 성장세 둔화 움직임이 나타났으나 대체로 회복세를 이어가고 있다.', '앞으로 주요국 경기의 변동성 확대 등이 세계경제의 위험요인으로 작용할 가능성이 있다.', '국내경기는 상승세를 지속하고 있다.', '수출이 계속 호조를 보이고소비가 꾸준히 증가하고 있으며 고용사정도 민간부문을 중심으로개선추세를 나타내고 있다.', '앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승세를 이어갈 것으로 전망된다.', '소비자물가는 상승률이 %대 중후반 수준에 있으나 앞으로 경기상승세 지속에 따른 수요압력 증대 등으로 상승압력이 계속 커질 것으로 예상된다.', '부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 현상이 지속되었다.', '금융시장에서는 단기시장금리와 은행 여수신금리가 상승세를 이어갔으나 외국인 채권투자자금 유입 등의 영향으로 장기시장금리는하락하였다.', '주택담보대출은 주택거래가 활발하지 않은 가운데 증가폭이 다소 줄어들었다.', '앞으로 통화정책은 우리 경제가 금융완화기조하에서 견조한 성장을 지속하는 가운데 물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.']"
18,2010-10-14,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였다.', '세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제는 미국 등의 경기회복 속도가 다소 둔화되고 있으나 대체로 완만한 회복세를 이어가고 있다.', '앞으로 주요국 경기 및 환율의 변동성 확대 등이 세계경제의 위험요인으로 작용할 가능성이 있다.', '국내경기는 소비가 주춤하였으나 수출이 호조를 지속하고 설비투자가 증가하는 등 상승기조를 유지하고 있다.', '고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다.', '앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를이어갈 것으로 전망된다.', '소비자물가는 농산물가격 급등 등으로 상승률이 높아졌으며 앞으로 경기상승이 이어지면서 수요측면의 상승압력이 지속될 것으로예상된다.', '부동산시장에서는 주택매매가격이 수도권은 하락하고지방은 상승하는 현상이 지속되었다.', '금융시장에서는 외국인증권투자자금 유입 확대 등의 영향으로 주가가 상승하고 환율과 시장금리가 하락하였다.', '주택담보대출은 주택거래가 활발하지 않은 가운데서도 입주물량 증가 등으로 증가폭이 확대되었다.', '앞으로 통화정책은 우리 경제가 금융완화기조하에서 견조한 성장을 지속하는 가운데 물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.']"
19,2010-11-16,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 .%', '에서 .%', '로 상향 조정하여 통화정책을 운용하기로 하였다.', '세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 대체로 완만한 회복세를 이어가고 있다.', '앞으로 주요국 경기및 환율의 변동성 확대 등이 세계경제의 위험요인으로 작용할 가능성을 배제할 수 없다.', '국내경기는 설비투자가 주춤하였으나 수출이 호조를 지속하고 소비가 증가하는 등 상승기조를 유지하고 있다.', '고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다.', '앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를이어갈 것으로 전망된다.', '소비자물가는 농산물가격을 중심으로 상승률이 더욱 높아졌다.', '앞으로 채소류가격의 안정 등으로 물가상승률이 다소 낮아질 것이나경기상승이 이어지고 국제원자재 가격이 오르면서 상승압력이 지속될 것으로 예상된다.', '부동산시장에서는 지방의 주택매매가격 상승세가 지속되는 가운데 수도권의 하락폭 축소 움직임이 나타났다.', '금융시장에서는 외국인증권투자자금 유입이 지속되면서 주가가 상승하고 환율이 하락하였으며 장기시장금리는 큰 폭 하락 후 높은물가상승률의 영향 등으로 반등하였다.', '주택담보대출은 주택거래가활발하지 않은 가운데서도 비교적 큰 폭의 증가를 지속하였다.', '앞으로 통화정책은 우리 경제가 견조한 성장을 지속하는 가운데물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.']"
20,2010-12-09,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였다.', '세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 대체로 완만한 회복세를 이어가고 있다.', '앞으로 주요국 경기의 변동성 확대, 일부 유럽국가의 재정문제로 인한 국제금융시장불안 등이 세계경제의 위험요인으로 작용할 가능성을 배제할 수없다.', '국내경기는 상승기조를 유지하고 있는 것으로 판단된다.', '건설투자가 계속 부진하고 설비투자가 감소하였으나 수출이 호조를 지속하고 소비가 꾸준히 증가하고 있다.', '고용사정은 민간부문을 중심으로개선추세를 나타내고 있다.', '앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를이어갈 것으로 전망된다.', '소비자물가는 채소류가격의 안정 등으로 상승률이 크게 낮아졌으나 앞으로 경기상승이 이어지고 국제 원자재 가격이 오르면서 상승압력이 지속될 것으로 예상된다.', '부동산시장에서는 지방의 주택매매가격 상승세가 지속되고 수도권의 하락폭이 축소되었다.', '금융시장에서는 유럽 재정문제 재부각, 지정학적 위험 등으로 주가와 환율이 큰 폭의 변동을 나타내었다.', '장기시장금리는 국고채 발행물량 축소계획, 외국인채권매수 지속 등으로 하락하였다.', '주택담보대출은 주택거래가 다소 늘어난 가운데 증가폭이 확대되었다.', '앞으로 통화정책은 우리 경제가 견조한 성장을 지속하는 가운데물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.']"
21,2011-01-13,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 .%', '에서 .%', '로 상향 조정하여 통화정책을 운용하기로 하였다.', '세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 완만한 회복세를 이어가고 있다.', '앞으로 세계경제는 회복세를지속할 것으로 전망되나 일부 유럽국가의 재정문제로 인한 국제금융시장 불안, 국제원자재가격의 변동성 확대 등이 위험요인으로 작용할 가능성을 배제할 수는 없다.', '국내경기는 설비투자가 감소하였으나 수출이 호조를 지속하고 소비가 꾸준히 증가하는 등 상승기조를 유지하고 있다.', '고용사정도민간부문을 중심으로 개선추세를 나타내고 있다.', '앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를이어갈 것으로 전망된다.', '소비자물가 상승률은 석유류 및 농산물 가격의 상승 등에 기인하여 지난달 .%', '수준에 이르렀다.', '앞으로 경기상승이 이어지고 국제원자재가격이 오르면서 물가상승압력이 지속되고 인플레이션 기대심리가 높아질 것으로 예상된다.', '부동산시장에서는 전세가격 상승이 지속되는 가운데 주택매매가격은 지방에서는 오름세가 지속되고 수도권에서도 상승 움직임이 나타났다.', '금융시장에서는 외국인 주식투자자금 유입 확대, 지정학적 위험 완화 기대 등으로 주가가 크게 상승하고 환율은 하락하였다.', '장기시장금리는 물가상승 기대, 외국인의 채권 순매도 등의 영향으로 상승하였다.', '주택담보대출은 주택거래가 늘어난 가운데 큰 폭으로 증가하였다.', '앞으로 통화정책은 우리 경제가 견조한 성장을 지속하는 가운데물가안정기조가 확고히 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.']"
22,2011-02-11,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였다.', '세계경제를 보면 신흥시장국 경제가 계속 호조를 나타내고 선진국경제도 회복세를 이어가고 있다.', '앞으로 세계경제는 회복세를 지속할것으로 전망되나 국제원자재가격의 변동성 확대, 일부 유럽국가의 재정문제로 인한 국제금융시장 불안 등이 위험요인으로 남아 있다.', '국내경기는 수출이 높은 신장세를 지속하고 내수가 꾸준히 증가하는 등 상승기조를 유지하고 있다.', '고용사정도 민간부문을 중심으로개선추세를 나타내고 있다.', '앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를이어갈 것으로 전망된다.', '소비자물가 상승률은 석유류 및 농산물 가격을 중심으로 크게 높아졌다.', '앞으로 경기상승이 이어지면서 높은 인플레이션 기대심리가유지되고 물가상승압력도 지속될 것으로 예상된다.', '부동산시장에서는 전세가격이 계속 상승하였으며 주택매매가격은 지방에서 오름세가 지속되고 수도권에서도 상승 움직임을 보였다.', '금융시장에서는 장기시장금리가 기준금리 인상, 물가상승 기대, 국고채 발행물량 증가 등의 영향으로 큰 폭 상승하였다.', '주가는 경기상승세에 힘입어 큰 폭 상승하였다가 반락하였으며 환율은 하락하였다.', '주택담보대출은 계절요인 등으로 소폭 증가에 그쳤다.', '앞으로 통화정책은 우리 경제가 견조한 성장을 지속하는 가운데 물가안정기조가 확고히 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.']"
