ngram,hawkish,dovish
코로나 분기,1,0
금리 이외 정책수단,0,1
극복 경제,0,1
급등 위험,1,0
정보 관리 업,1,0
설비 개선,0,2
다음 개장전 주목,0,1
혜택 연장,1,0
안정 일,0,1
가운데 저금리,1,0
PBR 배 미만,0,1
인하 제로금리,0,1
장기 보험 손해율,0,1
의장 비롯,1,0
기록 순이익,0,1
건과,0,1
관련 높,1,0
기준 국내 증권사,0,1
이미지 제고,1,0
폭등 거래,2,0
결제 고객,1,0
기간 코스피지수 코스닥,1,0
선진국 장기 금리,0,1
금리 전년,1,0
산업 경쟁력 약화,1,1
거래 급여 연금,0,1
방카슈랑스 가입,1,0
이후 만기일 DB 손보 자동차보험,0,2
정확 최신 정보 파악,1,0
만기 적금 최고 우대금리,1,0
기준금리 중립 금리 근접,1,0
미국 증시 변동성,1,0
경기 둔화 상황,1,0
대규모 현금,1,0
차지 순,0,1
사태 경기,1,0
고객 응원 팀,1,0
한국 경제 잠재 성장률,1,0
학교 급식,0,1
시점 올해,0,1
금리 변동성 크,0,1
나스닥지수 거래일,1,0
핀테크 랩,0,1
상황 운용사,3,0
공동 기록 상품 현역병 복무,0,1
우리나라 연간 성장률,0,1
고용시장 열기,0,1
적용 은행권,1,0
오름세 연방준비제도,1,0
부채 기관,2,0
경쟁 제한 우려,0,1
평균 임금 증가율,0,1
준비 금융,0,1
연방준비제도 매파 발언,0,1
유지 실업률,1,0
데이터 더 크 자신감,0,1
한국 심각,0,1
연방준비은행총재 필요,1,0
움직임 과도,1,0
가속 주목,0,1
기대 인플레이션 소비자,2,0
보합 수준 달러인덱스 저녁 기준,0,2
상장 은행 양도성예금증서,1,0
보복 계획,0,1
정도 불확실,0,1
발행사 신용 사건 발생,1,0
최대 자유,0,1
금리 인하 적절 판단,0,1
제시 정,0,1
규모 신종자본증권 발행 수요예측,1,0
낙찰가 낙찰가율 평균 응찰,0,3
연방준비은행총재 발언 예정,0,1
가상 자산 대장주 비트코인 미국,0,1
돈 확보 뜻 코픽스,1,0
잠정치 속보치,1,0
직원 업무 코스피,0,2
고물가 고금리 저성장,1,0
대비 거래 전날,0,1
페드워치 금리 인하 확률,1,0
대출 대주,1,0
실제 발행 규모,0,1
국내 큰손,0,1
인하 가능성 대폭,0,1
금리 내외 상승 출발,1,0
대출 이자 감당,1,0
하락 장기 평균,1,0
주기 혼합형,1,0
계약 은행 계약 순매수 투신,1,0
인하 좋,0,1
국고채 금리 일제히 하락 마켓,0,1
하락 국채 금리 거래일 대비,0,2
생활 물가 상승률,1,0
실질임금 상승,1,0
바람직 정부,0,1
우리나라 이날 저녁 반 미국,0,1
커피 가격,1,0
이란 이스라엘 지정학,0,1
재생에너지 관련,1,0
인하 가능성 불과 인하 가능성,1,0
계속 반영,0,1
오후 약세,0,1
최근 금리 인하 기대감,0,1
재무성 일본은행,1,0
연방준비제도 금리 인하 시기,0,1
달러엔 환율 중 반대,0,1
관련 최근 수치 단순,1,0
물량 수요예측 결과 최대,1,0
제한 이달,1,0
최고치 기록 포인트,0,1
높 경제 불황 샴 법칙,1,0
실착,1,0
최저치 포인트,1,0
닥터 거래일,0,1
투자 경영,1,0
이달 소비자 심리 지수 전월,1,0
업종 임금,1,0
월간 매입액,1,0
바이오 기업 거래,0,1
인하 빅,0,1
시니어 하우징,0,1
미국 실업률 예상치,2,0
금리 인하 속도조절 시사,0,1
수도권 중심 집값 상승세,1,0
예상치 둔화,1,0
사모채 시장,1,0
외환시장 변동성 확대 위험,0,1
앞 주택담보대출 안내,1,0
세계 가장 가치,0,1
국채선물 선 외국인 계약,0,1
미국 국내총생산 소매 판매가,0,1
중국 선 도시,1,0
패자 부활,1,0
장중 시총,0,1
가능 신호,0,1
인하 전망 기존 회로,2,0
목표치 완만,1,0
연장 고금리,0,1
부채 문제 다시,1,0
트럼프 유리,1,0
관련 대출상품,1,0
복합 문화 시설,0,1
미의회예산국,0,1
전용 지난달 거래 신고가,0,1
금리 결정 발표,0,3
금리선물 시장 연내,2,0
대규모 사업,1,0
대통령 암살,0,1
과정 가장,0,1
포인트 전세자금,0,1
주택 실장,1,0
전력공사,0,1
머지않 미래,0,1
반기 통화정책 서면 보고,0,1
주관사 인수단 투자,1,0
상환 없이 최장,1,0
이내 만기 연장,1,0
오후 미국 소비자 물가지수,0,1
너무 경제,0,1
확신 점차,0,1
방향 결정문 금리,1,0
직전 달러,0,1
둔화 고금리,0,1
금융 불안 지수 위기,0,2
최근 거래일 연속 상승세,0,1
이코노미스트 한은,1,0
동월 대비 상승 직,0,1
요건 확대,1,0
기자 브리핑,0,1
주가 가까이 급락,0,1
부족 심화,1,0
셔틀,0,1
이달 평균,0,1
정책학 회장,1,0
이벤트 국내,1,0
시장 하루 평균 거래대금,0,1
경상 수지 악화,0,1
분양 건설,1,0
분기 카드사,1,0
달러인덱스 일 저녁,0,1
대비 기록 직전,3,0
2차전지 종목,0,1
추가 긴축 경계감,0,1
환매조건부채권 매도 표지어음,0,1
융자 이자,1,0
압박 은행,0,1
미국 지난달 비농업 신규 고용,0,1
부동산 담보대출 비중,2,0
국내 채권 금리 미국,0,1
불확실성 금리 인상,0,1
남노,1,0
정부 설정,0,1
훨씬 높,1,0
정점 연준,0,1
배당 상품,1,0
시멘트 업체,1,0
이날 코스닥 거래량 거래대금 상한가,0,1
긴축 폭,0,1
메가시티,0,2
말 소비자 물가,0,1
상품 담보,0,1
심포지엄 미국,1,0
연동 원대,0,1
금융위기 공포,1,0
상승 청년,0,1
필요 더,1,0
기록 시장 예상치 달러,0,1
마감 이후 실적,0,1
이사 한국,0,1
연준 노동시장,1,0
국제통화기금 내년,0,1
생산자 물가지수 상승률 전월,0,1
한국은행총재 금융 대통령실,1,0
창구 기존 주담대 취급 기관,0,2
상황 입장,0,1
약자 지원,1,0
초과 미만,0,1
연착륙 시나리오,1,0
틱 마감 외국인 계약 은행,1,0
국채 대량,1,0
기업 재기,0,2
사기 의혹,0,1
리파이낸싱 펀드,0,1
상인 연합회 회장,0,1
수급 국채선물 외국인 계약금융,0,1
리튬 인산철,0,1
식품 제외 근원 전년,1,0
소상공인 자생력,0,1
한마음,1,0
달러 강세 유지,1,1
증가 강세,1,0
성급 금리 인하,0,1
포함 카드론,0,1
파두 사태,3,0
기준금리 인하 본격,0,1
보증 사업,1,0
국채선물 틱 기록 수급,1,0
출발 금리 국내,0,1
ETF 국내 최초,0,1
상승 컨센서스,1,0
이유 전기차,0,1
미국 신용,1,0
로이터 간밤 미국,1,0
기록 거래일 콜 금리 기록,1,0
사금융 민생,0,1
회의 방안 고려 대상,0,1
공동 순위,0,1
서비스업 PMI 예비,0,1
발표 미국 물가,0,1
월가 소비자,3,0
연체율 전년 말 대비 포인트,1,0
특별 중도 해지,0,1
증권 협회,1,0
자금 채무 상환자금,1,0
환율 반영 거래일 종가 하락,1,0
수입 진도,2,0
미국 물가 지표 예상치,1,0
아미,0,1
보고서 투자자,3,0
거래일 대비 기록 국채 금리,1,0
외국인 순매수 상위 종목,0,1
순매도 기관 외국인,0,1
다각도 검토,1,0
국채 금리 상황,0,1
야수,1,0
반빅,0,1
의료 정밀 상승,0,1
ETF 하락 달러원환율 물,1,0
휴식,0,1
햄버거,1,0
강경 대응,0,1
지수 기록 전월,0,1
비차익 매도우위 기록,0,1
동시 만기,0,1
마련 가능,2,0
은행권 수익성,0,1
부총리 경기,1,0
경기 회복세 찬물,0,1
제이,1,0
지난해 이후 가장 높,0,1
관심 필요 말,1,0
생활 편의 시설 잘,0,1
금통위원 추가 금리,0,1
해석 일본,1,0
추가 금리 인하 기대,0,1
효과 의문,1,0
상품 출시 고객,0,1
관계자 수익형,1,0
전망 달러엔 환율,1,0
변화 중국,1,0
마련 예정,0,1
간 소비자 물가 상승률,0,1
일본 엔화가치,1,0
대표이사 사장,1,0
바이오산업,0,1
비차익거래 매수우위 업종별,0,1
하반기 미국 기준금리 인상,0,1
일 신임,0,1
구매관리자지수 최저치,1,0
기능 충실히,0,2
선행 주가순자산비율,1,0
풍부 외화,0,1
범위 고려,0,1
거래 가격,0,1
높 없,0,1
개인 한정,0,1
분기 경상,1,0
국내 재료,0,2
용어 설명,0,2
새내,1,0
능력 없,1,0
별다른 성과,1,0
공모주 하이일드 펀드 수익률,0,1
시즌 매출,2,0
상황 앞,1,0
부정적 영향 크,0,1
기준금리 레포,1,0
한은총재 금리 인하,0,2
가격 혼조세,1,0
공시 대상,0,1
소매 판매 산업,1,0
상승률 전년 동기 대비,1,0
하락 선물 가격 전일 대비,1,0
채권 채권,0,1
말 기준 달러,0,1
주가 전반,0,1
방문 전화,0,1
결과 연준,1,0
달러화 매도,1,0
참석 차 터키,1,0
크 폭 수익성,0,1
유럽발 유동성,0,1
채권단 구제금융,0,2
급하 불,0,1
내륙,0,1
글로벌 대표,0,1
월요일 아침,0,1
변동 영향,1,0
세대 은퇴,0,2
마감 런던 선물거래소 브렌트유,0,2
인터넷카페,0,1
조만간 금리,0,1
금리 인상 가능성 시장,0,1
수익률 자랑,1,0
이미 분양,0,3
호텔 영종,0,1
강세 장중,0,2
아직 뚜렷,0,1
수익형 호텔 분양,0,1
분양 개시,1,0
인구 확보,0,1
경쟁 높,0,1
원위안,1,0
유럽중앙은행 유로존,1,0
달러 지난달,0,2
정부 주거,1,0
소득 제한,1,0
제조업 매출액,1,0
잠정 결과,1,0
전월 시장,0,1
장기 금리 인하,1,0
상승 미국 경제 지표,1,0
입주 예정 아파트,0,1
강세 가파르,0,1
미국 임금,0,1
생존 전략,0,1
과대,1,0
급락 디플레이션 우려,1,0
고정 금리 비,0,1
증권사 미수 신용,0,1
호조 금리,1,0
주요 뉴스 시장 흐름 눈,0,1
달러 하락 이후,1,0
제조업 경기 위축,1,0
좋 소식,0,1
리스크 프리미엄,0,1
스웨덴 중앙은행 기준금리,0,1
당분간 추가,2,0
채권 매각,0,2
상승률 목표 달성,0,1
자민 승리,1,0
개인 프로그램 차익 비차익 매수우위,0,1
케이스 주택가격 지수,0,1
전 같,1,0
봉사 활동,0,1
간밤 미국,1,0
좋 기회,0,1
판매 건수,1,0
수출 회복,0,1
비율 규제,2,0
제한 가능성,0,1
은행 보험사,1,0
거래 일 이후,1,0
어제 오늘,1,0
주 국고10년 물,0,1
모습 커브,1,0
파트너십,0,1
잡음,0,1
RP 매매,0,3
스와프 포인트 고려 거래일 현물환,1,0
적금 가입,1,0
달러 상승,0,1
경제 전망보고서,0,1
추가 인하 기대감,1,0
썩,0,1
분양가상한제,1,0
창조경제 활성화,0,1
진행 일,0,1
포시,0,1
적어도,0,1
요청,1,0
구랍,1,0
날씨,0,1
입찰 증권,1,0
정부 경제,3,0
대형주,0,1
전년 동기 대비,0,1
달리,0,1
물량,1,0
기록,0,1
안정,0,1
확신,0,1
레인지,0,2
제안,0,1
배제 없,1,0
회로 전장,0,1
급여,0,1
시장 분위기,0,1
설명 관련 기사,1,0
말 중국,0,1
전자상거래,0,1
고려 전일 현물환 종가 상승,1,0
국채선물 재상장,1,0
투자 유치,1,0
출발 이후,1,0
절약,0,1
순매도 이후,1,0
페이지 페이지 좋 새롭,2,0
시즌,0,1
감소 요인 지준,0,1
잠재 성장률 수준,0,1
주택담보대출 금리,1,0
거래 부진,1,0
출시 일,1,0
비즈니스 솔루션,0,1
건전성 저하,1,0
오전 공고 예정,1,0
정례 모집 대상,1,0
기대수익,0,2
어렵 그렇,1,0
은행감독국,0,1
산업 생산 소매 판매,0,1
국채선물 거래일 틱,0,1
필요 언급,0,1
강세 상황,2,0
크 수혜,0,2
삼바,0,1
비율 총부채 상환 비율 완화,1,0
전반 증시,2,0
획기,0,1
상황 상황,2,0
인상 이란 전망,0,3
금리 상승 부담,0,1
엔 금리,1,0
상황 영향,0,1
국채 보유 규모,0,1
리스크 관리,1,0
전망 미국 금리,0,1
그래프,0,1
기타법인 계약 순매도,0,1
콘크리트,0,2
피해 우려,0,2
비중 확대 기회,1,0
분석 같,1,0
운용역,1,0
자금 유입 지속,1,0
전망 환율,2,0
투자자 모집,0,2
거래 지수 전일,1,0
내년 상반기 인상,1,0
외환시장 소폭,1,0
인덱스펀드 수익률,0,1
측면 금리,1,0
연방준비제도 통화정책,0,1
목소리 크,2,0
명백,0,1
분위기 같,0,1
유승,1,0
하락 외국,0,1
공사 진행,0,1
세금 부담,1,0
영문,0,1
추억,0,1
발족,2,0
또 같,0,2
석유화학,1,0
월간 기준,0,1
CRS 장기쪽,0,2
투자자 한국,0,1
진돗개,0,1
외국인 대규모,0,1
실적 크,0,1
회복 강하,0,1
연준 물가 목표치,1,0
빌딩 매각,1,0
상황 섣불,0,2
업체 규모,1,0
금리 이자 부담,1,0
배 최고 온라인 대환 전문,1,0
부동산 계약,1,0
최저치 금리,0,1
산유량 제한,0,1
명품 스마트,0,1
방향 투자,0,1
日 통화정책,0,2
틱 마감 국채선물,0,1
이상 빚,1,0
원위안화직거래,1,0
상승 속도 빠르,0,1
국고채 금리 국고채 금리,2,0
반영 국내 시장,1,0
하락 마감 틱,1,1
주요국 통화정책 변화 브렉시트,0,2
미확인,1,0
현재 국채선물 국채선물,1,0
납기,0,1
위험 야기,2,0
걱정 상황,1,0
해결 전화 문자 인터넷 게시판,0,1
의견서 제출,0,1
거래일 거래 종가,0,2
유 부총리,0,1
이미 투자,2,0
전년 대비 포인트 하락,1,0
발행조건,1,0
당기 순익 전년,0,1
李,0,1
FOMC 위원 앞,1,0
인상 우려 약세,2,0
토대 산출,1,0
단순 계산,1,0
진행 의견,1,0
대환 전문,0,1
부당이득,1,0
증가율 전기 대비,1,0
바람직 주장,0,1
대출 부실화 가능성,1,0
하락 거래 국채선물,1,0
평균 신용등급,1,0
감소세 지속 소비,1,0
기대 코스닥,0,3
종가 기준 사상 최고가,1,0
중심 지속,1,0
전망 정치,0,1
매각 자금,0,1
금리 거래일 대비 회사채,1,0
전반 관망세,0,1
최대주주 산업은행,0,1
대출 감당,0,1
자금출처,0,1
사람 은행,0,1
물가 이후,1,0
중립 금리 기준금리,1,0
가능 경제 성장,2,0
대출 종,0,1
주공 아파트 재건축,0,1
분석 우리나라,0,1
지수 자체,1,0
기준금리 인상 뒤,1,0
상회 펀드,0,1
절차 대폭,1,1
발급 은행,0,1
총재 포르투갈 ECB,0,1
성과 안정성,1,0
금융상품 추천,0,1
변수 트럼프,0,1
최소 차례 금리,1,0
자기자본 투자,1,0
주재 금융통화위원회 본회의 기준금리 수준,0,2
인상 실물,0,1
악영향 예상,0,1
금융위 금융시장,1,0
규제 대출 금리,0,1
트럼프 트럼프 미국,0,1
거래 다우지수,0,1
개선 없,0,1
센트 라스,1,0
시장 금리 상승 우려,0,1
인상 속도 속,0,1
보금자리론 금리 인상,1,0
능력 중심,1,0
멤버 참여,1,0
달러 매도세,1,0
아직 구체,1,0
금리 현물,1,0
달러화 방향,0,1
대비 반면,0,1
금융 풍선효과,0,1
외국인 현재 국채선물 계약,1,0
약정이율,2,0
설명 절,0,1
가치 경영,1,1
미사일 도발,0,1
저작권,2,0
주목도,1,0
계획 공개,0,1
배당 투자자,1,0
선호심리 부각,1,0
이슈 뉴스 브리핑 오늘 경제,0,1
경제 버팀목,0,1
성공 미국,0,1
경제 판단,1,0
미국 연방준비제도의장 연내 금리,0,1
뉴욕증시 소폭 하락 마감,0,1
환승 광장 아케이드 거리 조성,0,1
없 임대,1,0
가산금,0,1
사역 개통 예정,0,1
접근성 개선,1,0
직장인 자영업자,2,0
기록 미국 금리,0,1
우량 대출,0,1
협약 보증,0,1
소비 지출 전망 현재,2,0
소비자 물가 상승률 인식,1,0
상승 나스닥지수,1,0
투자자 선호도,1,0
대출손실,0,1
속초 호텔,0,1
랜드마크 자리,0,1
우남,0,1
금리 조절,2,0
관계자 경제,1,0
향후 지역,1,0
번호 자료,0,1
분기 경상 수지 적자,0,1
태블릿PC,1,0
시설 구성,0,2
한국은행 기준금리 인하 이후,0,1
호텔 분양형호텔,1,0
명당,1,0
고용시장 물가,1,0
등본,0,1
혜택 호텔,0,1
시행사 상품 판매 분양,0,1
부담 추경,1,0
총리 대행,0,1
메르스 우려,1,0
연내 인상,0,1
금리 인상 채권 금리,0,2
성장 둔화 시사,0,2
동두천 미군 기지 이전,1,0
니스 센터 옥상 층,0,1
호텔 레지던스 분양,0,2
장교 급 제외 대부분 대중교통,1,0
주말 발표 미국 고용,0,1
산업통상자원부 차관,0,1
증가세 면밀히,1,0
소셜커머스,1,0
차례 정도 금리,0,1
경제 정상화,0,2
평가 개통 고속도 연장,0,1
경제 과열,1,0
고용시장 지속,0,1
높 객실 가동율 유지 기대,1,0
마련 스카 경포 기간 관람객,1,0
많 아이스하키 쇼트트랙,0,1
상품 구매,1,0
확보 시공 이러 강점 스카,0,1
형태 호실 분양 소유주,0,2
가운데 분양형호텔 강자 각광,0,1
스카 경포 기대감 분양면적,0,2
매파 태도,1,0
전망 연준 기준금리,0,2
대비 국가,0,1
증시 원자재,0,1
투신 순매도,1,0
마니,1,0
시설 규모 추산 이대로,2,0
거래일 급등,1,0
말 피셔,0,1
회의 하루,0,1
인하 이번,1,0
모의 투자,1,0
전문가 수도권,1,0
근접 강북 강동,0,1
자금 유동성,0,1
재무비율,0,1
가격 하방 압력,0,1
많이 공급 신혼,1,0
룸 오피스텔 크 인기,1,0
이날 거래량 거래대금 기록,1,0
이목 집중 최근,1,0
관리 재정수지,0,1
정부 위안화 평가 절하,0,1
비용 없이 달 고정,1,0
국민 재산 증식,1,0
편입 이슈,0,1
빌더 개발 위탁 대한민국 대표,0,1
관심 신형 산천,0,1
전체 연면적 지하층 지상,1,0
안정성 확보 분양면적,1,0
지젤 엠,0,2
지목 중국,1,0
재고 지난주 배럴,0,1
통신비 연체,0,1
국제 이슈,2,0
내용 연설,0,1
부과 대상,0,1
신탁 시행 책임 준공 안정성,0,1
상승 분기 분기,1,0
GDP 성장률 유럽,2,0
지속 급격,0,1
책임 소재 증빙 사용 매크로,1,0
채권 상각,1,0
fed ECB 금리 인상,0,1
확대 인상,1,0
균 임금,1,0
통화정책 한국,0,1
fed 빠르 금리 인상,0,1
실질 GDP 실질 GDP,0,1
미국 SP 케이스 주택가격 지수,0,1
한국 헝가리,0,1
악화 악화 악화,0,1
부채한도 부채한도,0,1
기조 유지 유지 유지,1,0
정책 재정정책,0,1
주요 주요 주요,2,0
모습 모습,1,0
충분히 충분히 충분히,1,0
파악 가능,1,0
작성 학술 논문 학술,1,0
온스 마감,0,1
옥수수 축 밀,1,0
공급 의미 경제활동참가율,1,0
증권 금 가격,0,1
개선 기대 하반기,1,0
주유소 의복 스포츠 취미,1,0
확신 약화,0,1
유출입 동향 통합,1,0
fed 강달러 시대,1,0
상승률 차,0,1
Fed Fed fed,1,0
성장률 리서치,0,1
조기 금리 기대 약화,1,0
문구 비교,0,1
일본 광공업 생산 중국,0,1
자산 순현금,1,0
홍콩 일본 한국,0,1
정부 부채 미국,0,1
미국 소매 판매 미국 근원,0,1
통화 긴축 불확실성,0,1
종착역,0,2
부동산 TGIF,1,0
환율 글로벌 선거 도표,0,2
긴축 중단 기대,0,1
연료 가정용품,1,0
주간 수익률 상위 종목 수익률,0,1
신뢰지수 확정치 미국,1,0
종합 지수 한국 채권시장 TGIF,0,1
영국채 수익률 스프레드 장단기스프레드 장단기스프레드,1,0
아파트 전세 매매동향 아파트 수급,1,0
국채 민간 대출,1,0
중국 수출 수출 수출,1,0
하이일드 비중,1,0
중국 주요 경제 발표 예정,1,0
물가 인도,0,2
국내 산업 생산 증가 전환,1,0
세부지수 핵심,1,0
고용 투자심리 ISM,0,1
개선 유로존 경기,1,0
도표 FED 금리,0,1
기대 극대,0,1
정상회담 정상회담 정상회담,1,0
산업 상승 산업 하락,1,0
전치 부동산 도시 신규 주택가격,0,1
우려 추가 하락,1,0
통화 변화 강세 약세,1,0
실질실효환율지수 추이 도표 미국,1,0
수출 차액 순수출 계상 한국은행,0,1
그대로 나라 수출 거래 구입,1,0
금리 주택가격 지수,0,1
손실 손실 손실,0,1
직접 투자 위안,2,0
소득 시인,0,2
광공업 생산 기업 이익 EPS,1,0
GDP 추정 Fed Fed,1,0
보유 현황 전구간 금리 하락,0,1
포트폴리오 포트폴리오,1,0
항셍 교역 수출 전치,0,1
도시 신규 고용자수 증가율,0,1
물가 전치 생산자 물가 전치,0,1
실질 잠재 성장률,1,0
하회 전주,1,0
부동산 부동산 부동산 소프트웨어 소프트웨어,0,1
사실 외부 부당 압력 간섭,1,0
순매수 추이 외국인,1,0
변동 외국인 원화채권,0,2
경기 기준 미국 선행,1,0
수주 재고 스프레드,1,0
다자 무역,1,0
지불 서비스,0,2
이탈 이탈,0,1
장수 장수,1,0
상위 업종 파란색,1,0
의미 글로벌 주식펀드 누적 순매수,1,0
기준 MSCI 기준 빨간색 칸,1,0
완화 민간 소비,0,1
구분 종가 종가,1,0
지방 정부 지방 정부,0,2
가격 상승 도시,1,0
누적 누적 누적 누적,0,2
레시피 원자재 미국 가동 원유,0,1
가격 추이 가격 추이,0,1
가격 금선물,0,1
현금 현금 현금,0,2
물가 호주 통화정책회의,0,1
위원 금리동결 소수의견,1,0
출처 출처 출처 출처 출처,1,0
스프레드 신흥국 통화 지수,0,1
입자 사직 임시,1,0
비농업 신규 고용자수 실업률 추이,0,1
코스피 SP500 영국 FTSE100,0,1
신뢰지수 SP 주택가격 지수,0,2
의거 제의,0,1
증권 본사 포스트,0,1
투자 증권 본사 포스트,0,1
소매 판매 전년비,0,2
경제활동참가율 상승,1,0
변동 미국 가계조사,0,1
한국 국채 금리갭,2,0
리밸런싱 매도,0,2
추이 미국 ff 금리 목표,0,1
지수 한국 수출,1,0
원유 초과 공급,1,0
이해관계 동자료 게재 내용,1,0
소비 일본,1,0
판매 fed,1,0
관 련,1,0
위험 미국 경제,0,1
지수 양호,2,0
기준 화학,1,0
컨센서스 분포,0,1
건수 차,2,0
설비 투자 선행 지수,0,1
반도체 무역 반도체 영업이익 반도체,1,0
임금 상승률 미국 제조업 임금,2,0
리서치 미국 비농업,0,1
순매수금액 등락 비은행 금융,1,0
fed 연내,0,1
실업률 산업,1,0
둔화 기준,0,1
유효 하반기,0,1
인상 fed 금리,0,1
비중 확대 중국,1,0
중국 수출 중국,0,1
중국 주요 통화,2,0
전주 대비 주요 환율 대비,1,0
PMI 국가통계국,0,2
본부 보고서 기관,1,0
추천 의견 어떠 금전,1,0
투자 증권 PCE,0,1
의류 유틸리티,0,1
소요 중국,2,0
수출 증가율 사회 융자 규모,1,0
생산 산업 생산 소매 판매,0,1
순증 누적 증가율 위안 지방,0,1
미국 장단기스프레드 국고채 금리 추이,1,0
