ngram,hawkish,dovish
주담대 최장 만기,1,0
연준 공격적 긴축,1,0
대상 최대 포인트,0,1
정보 공시 제도개선,0,1
헌정사,1,0
정부 출발 기금,1,0
국채 실질 금리,0,1
불법 파업,1,0
임금 관계,1,0
인플레이션 세계 경제,0,2
종목 하락 하한가 기록,0,1
사이클 돌입,0,1
명의 우수 중소기업,0,2
오전 은행 회관 비상 거시경제금융회의,0,1
가속 경기 둔화,0,1
산 이전,0,1
시작 뒤 안팎 상승 폭,0,2
식료품 제외 근원 PCE 가격지수,0,1
지수 마감 지수,0,1
높 이달,2,0
대출 고신용자,1,0
코로나 상흔,0,1
사모 대출 시장,0,1
공급망 대란,0,1
가량 순매수 코스피지수,0,2
대출 청년 전세,0,1
최고치 환율,0,1
상생 국민,0,1
오후 반,0,1
하락 기록 국채,1,0
중심 나스닥지수 전장 포인트 하락,1,0
가장 높 에너지,1,0
최대 과제,1,0
장 마감 지수 전장 포인트,0,1
혼조 독일 증시 지수,0,1
달치,1,0
결정 인플레이션,0,2
어렵 과거,1,0
가능성 크 예상,0,1
말 재건축,0,1
의견 수용,1,0
한은 역사 처음,1,0
미국 실업수당청구,1,0
장기 수요,1,0
달러화가치 달러인덱스 전장,1,0
마켓 캡 오후,0,1
경기 침체 리스크,1,0
역대 최대 증가,1,0
발언 채권시장 약세,0,1
판단 미국 증시,1,0
시내 호가단위 틱 상승 선물,0,1
가입 기간 이상,1,0
창업 기업 육성,1,0
경제통계시스템,1,0
채권 관리,1,0
옵션 만기일 영향,0,1
미취학 아동,1,0
산업 이름,1,0
혁신 생태계 조성,0,1
상장주 관사,0,1
코스피지수 거래일 대비 포인트 상승,0,1
국내총생산 증가율 전기,1,0
우리나라 비교,0,1
국가 균형,1,0
평가 유지,0,1
채권 발행시장,0,1
무역전쟁 미국 금리 인상,2,0
증시 상승 요인,1,0
제공 상품 보험료,0,1
금융위 내년,0,1
정부 질문 의원,1,0
지능 범죄,1,0
미국 금리 역전 문제 가계,0,1
악화 모습,0,1
금리 금리 차이,1,0
포인트 이후 최대,0,1
부채 성장,0,1
기록 금리 하락,0,1
정책 직접,0,2
고점 통과,0,1
발행 축소,0,2
무주택 청년,0,1
기준금리 유지 예금,0,1
대표 금리 인상,1,0
가계 부채 시대,0,1
금리 포인트 최고 금리 포인트,3,0
의심 거래,1,0
조건 만기,0,1
대폭 상승,0,1
금리 하락 미국 국채,0,1
달러화 강세 요인,0,1
물가 상승 흐름,1,0
부담 연간,0,1
전세자금 대출상품,1,0
최저임금 인상 물가,0,1
많 인상,1,0
광물 의약품,1,0
금리 상승 경제,1,0
좋 채권,0,1
강화 크,0,1
약보합 채권시장 장,1,0
조달 비용 반영,1,0
미국 관계,0,1
카드 수수료 원가,0,1
법정 화폐,1,0
대출 만기 연장 이자 상환,0,1
라임 운용,0,1
대응 과정,0,1
우한,1,0
상황 그간,0,1
대출 조치,2,0
장기 금리 크,1,0
공매도 거래비중,0,1
금리 주담대 변동 금리,1,0
銀 코로나,0,1
비르,0,1
확산 코로나,0,3
은행 자기자본,0,1
시기 재정,0,1
역지사지,0,1
유동성 부족 기업,0,1
보증 지원 대상,1,0
아울러 코로나,0,1
협력 펀드 운영,1,0
신청 시중은행,1,0
추정 전년 대비,0,1
폭등 거래,1,0
위주 가격,0,1
퍼트,0,1
결격,1,0
연준 통화정책 변화,1,0
자금 조달 없,0,1
위안 수준,1,0
한국은행 발표 이후,1,0
불과 열흘,1,0
우대금리 여행,1,0
최고 포인트 우대금리 적금,0,1
신용카드 발급 이내,1,0
등락 전망 미국,0,1
임원 후보,1,0
연초 주식시장,0,1
높 한국 증시,1,0
방안 금융,1,0
기준금리 현행 유지 예금,0,2
공영주차장,1,0
대상 정책금융 상품,0,1
금리 하락 지속,1,0
트럼프 재선,0,1
보험 수요,0,1
정부 복지 정책,0,1
유로존 성장률,1,0
최고 우대금리 제공,0,1
성과지표,0,1
채권 전통자산,0,1
패키지 무상,0,1
마감 연방준비은행총재,0,3
매출 작년 동기,0,1
해 미국,0,1
동기간 대비,0,1
명목 이표채,0,1
계약 순매도 계약 투신 계약,0,2
마감 시점 금리,0,3
빠르 최근 데이터,1,0
나스닥지수 상승 집계,0,1
자금 보충 의무,0,1
기대 크 후퇴,0,1
강력 강력,1,0
경제 모두,1,0
대비 기록 대형주 벤치마크 지수,0,1
금융안정 고려 중립 금리,2,0
구매 사용,1,0
채권형 상품 원금 수익,1,0
발생 원금손실,1,0
안도 연준,0,1
에너지 솔루션 약세,1,0
신축 별관 컨퍼런스 홀 중립,1,0
적자 살림,0,1
투자 전년 동기 대비 증가,1,0
뒤 자금,1,0
크 식음료 에너지,0,1
의장 발언 대기,0,2
뚝 수치 전월,0,1
금리 거래 뉴욕,1,0
매회,0,1
증권 증권 증권,0,1
졸업식,0,1
포인트 하락 코픽스 국내 은행,0,1
하락 코스피 하락,1,0
공급 보증,0,1
종료 전,0,1
순매도 선물,0,1
위원 회의 발언,0,1
외부 자금,1,1
신종자본증권 회계,0,1
시장 기조적 물가 흐름,1,0
대비 민간 신용,0,1
급사,0,1
전반 흐름,1,0
가격 대비 높,1,0
이코노미스트 환율,0,1
기록 한편 국내,0,1
비트코인 이더리움 거래,1,0
대비 기록 연준 정책,2,0
강하 분기,1,0
보증료 최대,0,1
인하 예상 차례,0,1
감정가 수준,1,0
증가 주요 원인,1,0
이벤트 인플레이션,0,1
이르 금리 인하,0,1
정확 투자 정보,0,1
국채 수익률 올해,1,0
약세 달러화 강세 지지,0,1
일 근월물 인도,2,0
채권 대차 잔고 거래일 감소,0,1
변동성 일본,0,1
아직 너무 최근 데이터,0,3
운용 수익률 기금 평가 액,1,0
중단 사유 발생,0,1
지난달 내수,1,0
후퇴 미국,1,0
선 성공,1,0
전문가 전망 크,0,1
미국 경기 침체 우려 캐리트레이드,1,0
고금리 국가,1,0
목소리 일본,1,0
금융 플랫폼 사이다,0,2
서비스업 구매관리자지수 예상치,1,0
분기 증가율 분기,0,2
빌 리브,1,0
균형 인플레이션 신뢰 상승 견고,0,2
포인트 확률 포인트,1,0
바이오 관련주,0,1
자본 규제비율,1,0
자산 불평등 심화,0,1
탓 변동성,0,1
생각 보수,1,0
둔화 고용시장 냉각,0,1
집중 통화정책,0,2
확대 불확실성,0,1
기존 신용평가,0,1
직전 오후,0,1
장 하락세,1,0
회장 인척 부당,0,1
일부 정도,1,0
정도 소폭,1,0
둔화세 연방준비제도 금리,0,1
문제 해당,2,0
차 봇,0,1
입양,0,1
대선 결과 뒤집기 시도,1,0
국채 금리 입찰,1,0
발행 인플레이션,1,0
다시 악화 우려,0,1
가구 공유 주택,1,0
임차 보증금 이자 지원 사업,1,0
수혜 주로 부상,0,1
시행 해외,1,0
인플레이션 크 진전,0,3
계약서 계약 이날 장마감후,0,1
모회사 홀딩스,0,1
개인 하루,0,1
아파트 분양가격 동향,0,1
창사 최대 실적,1,0
역대 최대 매출,0,1
금리 상품 대출 금리 포인트,0,1
달성 의구심,0,1
단체 급식,1,0
너무 높 유지,0,2
대출 수요 자극,1,0
자체 현금,2,0
중소형주 가치주,2,0
주택담보대출 중심 가계 부채,0,2
뚝 연준,0,1
기준 뚝 연준,1,0
직전 달러,1,0
가동률 유지,1,0
각각 감소,0,1
매력 반감,0,1
최고치 기록 분기,0,1
평균 가격 전주,0,1
완화 거래,1,0
저축은행 중앙 소비자 포털,0,1
촉구 정부,0,2
특징 주 흐름,1,0
조치 금리 인상,0,1
펀더멘털 긍정적,0,2
신호 주목,1,0
오름세 당분간,1,0
보크,0,1
금리 연준 금리,1,0
소비 감소 폭,0,1
기관 특성,0,1
면제 방안,1,0
매출 가이던스 달러,0,1
지역 달러,0,1
대비 하락 개장 예상,1,0
고려 이달,0,1
목표치 둔화,1,0
장금 결연,0,3
인플레이션 둔화 속도 금융안정,1,0
특징 주 흐름 같 글로벌,2,0
결과 주문,1,1
원인 기존,0,2
초과 아파트 주택담보대출 금지,1,0
새로 미국,1,0
중심 이자,1,0
순환변동치 전월 대비 포인트,0,1
설비 투자 전월 대비,0,1
긴축 장기,0,1
확률 가장 높,1,0
인상 업계,1,0
상승기 고정 금리,0,1
상가 입주,1,0
연준의장 잭슨홀 회의,0,1
금융위기 다르,1,0
고통 금리,2,0
촘촘히,1,0
방폐 물,2,0
강화 환율,1,0
채권시장 국가 분류,1,0
반영 적금,0,1
업무 업무,0,1
중소 벤처기업 소상공인,1,0
국채 매입 시장,0,1
기준 전세 대출,0,1
현재 시장 연준 다음,0,1
한미 금리 역전폭 확대 우려,0,1
금리 폭등세,0,1
주택담보 대출자 이자 부담,0,1
경영 활동 위축,0,1
경기 침체 이슈 부각,1,0
금리 기준금리 채택 이후 가장,1,0
장기 금리 지표 국채,1,0
시장 쇼크,0,1
계약 연기금 계약 순매도,0,1
확장 속도,0,1
군사 지원,1,0
CP 금리 거래일,1,0
투자 달러 순자산,0,1
제약 확신,1,0
확전 방지,1,0
글로벌 채권 금리 벤치마크,1,0
전쟁 이스라엘,0,1
이스라엘 무장,1,0
초반 안대,1,0
시장 심리 위축,1,0
유로화 엔화 통화,1,0
미국 연방준비제도 긴축 장기,1,0
소비자 물가지수 예상치 상회,0,1
런던 선물거래소 인도분 브렌트유 선물,0,1
격비,0,1
정기 신용위험평가 결과,1,0
인프라 투융자 회사,1,0
이란 전망 국내은행 딜러,0,2
자영업 다중채무자,0,2
달러위안 환율 안대 달러엔 환율,0,1
참가자 경제,0,1
공제금 지급,0,1
거래일 종가 개장 개장 직후,1,0
에르 안 키 대통령,1,0
주차장 붕괴 사고,0,1
분기 결산,0,1
투자자 ETF,1,0
퇴직연금 계좌 투자 가능,0,1
관심 의장,0,1
못 생각,0,1
기관 어치 개인 어치,1,0
밤 반,0,2
결정 신중,0,1
가격지수 전년 동기 대비,1,0
연속 증가세 증가,1,0
동향 수출,0,1
고려 때 연준,0,1
이직 보고서 올해,0,1
역전 반환 대출,0,1
가운데 전기전자,0,1
반빅,1,0
내년 금리 인하 폭,1,0
유로존 종합,0,1
국채선물 틱 상승 출발,0,1
가격 상승 국채선물,0,1
가격 불확실성,1,0
주담대 가계 대출,1,1
국내 채권형펀드 순자산,0,1
덤,0,1
인프라 기업,0,1
제이,1,1
니스 센터,1,0
중립 유지,1,0
錢,1,0
품질 경쟁력,1,0
커브 플래트닝 분위기,1,0
사상 최저 금리,0,3
구간 진입,0,1
수익률 제시,1,0
기록 이중,1,0
신도시 급,1,0
포인트 전격,1,0
유럽중앙은행 일,0,2
상환능력 악화,1,0
더 관심,1,0
추가 여력,1,0
시대 대안투자,0,1
설탕,0,1
연방기금 금리선물,1,0
기프티콘,0,1
내홍,1,0
힘들 분석,0,1
올해 분기 성장률,0,1
인상 가능성 글로벌,2,0
금융지주 계열 저축은행,0,1
국제통화기금 신흥국,0,1
강세 달러,1,0
독점 지위,2,0
조정 분석,1,0
비슷 흐름,1,0
나스닥 종합 지수 하락 마감,1,0
국내 증시 박스권,1,0
발행 금리 발행일,1,0
상승 커브,1,0
거래일 선,0,1
경제정책 운용 방향,1,0
허가 증가,0,1
연방준비제도 인플레이션,0,2
위원 한은,0,1
밀착형,1,0
일부 금리,0,1
비교 가량,0,1
사스,1,0
신주인수권부사채,1,0
인터뷰 미국,0,1
예정 소비자,1,0
자산관리 전략,0,1
투쟁,0,1
국내 주식형펀드 상승,1,0
일 일 전국,0,2
어렵 금리 인하,1,0
많 기준금리,1,0
종양,0,1
발표 다음,1,0
무근,1,0
매수세 선,1,0
건설 플랜트,0,2
불안 투자자,0,2
외국어,1,0
시가총액상위종목 대부분 약세,1,0
신약 개발,1,0
가격 집,1,0
대비 상승 상승,3,0
마감 간밤,1,0
최근 주택시장,1,0
경제 최대,1,0
절하 폭,1,0
참석 차 터키 방문,0,1
코스닥 신규,0,1
조건 유지,0,1
회복 연준,1,0
그리스 구제금융 연장,0,1
그리스 총선 결과,0,1
분기 본격,0,1
고객 눈높이,1,0
강달러 우려,1,0
없 의장,1,0
완만 수준,0,1
한은 국회,1,0
비트,1,0
예금 대신,0,1
금융 취임,0,2
연준 회의 금리,0,1
유명세,2,0
관심 점점,1,0
FOMC 인내심,0,1
음식료품 전기전자,0,1
폭발 성장,0,1
기사 美 금리,0,1
유가 달러 강세 하락,1,0
뉴스 코너 부장 출연,1,1
인내심 문구 삭제 금리,1,0
쌍 끌 매수,0,1
원엔 거래,0,1
우선주 지수,0,1
수요 상가,1,0
ELS 종 포함 종,1,0
가입 한도 기타,1,0
부동산 가치,1,0
긴축 움직임,1,0
스프레드 BEI,2,0
전문가 소비자,2,0
상승 엔화,0,2
스텝 시리즈 ELS,2,0
이번 사업,0,1
설명 말,1,0
비농업부문 취업자수 기록,0,1
밸류체인,0,1
ELS 인덱스펀드,1,0
쿼터,1,0
규모 정책,0,1
무역 환경,0,1
심의 의결,2,0
고정 금리 비,1,0
기업 운명,0,1
가혹,1,0
공모 하회,1,0
강세 하락 업종,1,0
중앙은행 예상밖,1,0
기준금리 연방기금 금리,1,0
많 지역,0,1
달러표시채권 발행,0,1
강세 출발 금통위,0,2
준용,1,0
지표 발표 예정,1,0
해외 위험요인,0,1
거래 전날,0,1
예정액 응찰액 낙찰액 낙찰,2,0
가계 부채비율,0,1
매각 입찰 모집 간 한은,0,1
중국 상하이종합지수,1,0
전속,0,2
정책 추진,0,1
매도 반면 금융투자 계약,0,1
외화자금,1,0
수급 부담,0,1
증시 호재,1,0
외화 유동성,0,2
경제 불확실성,1,0
인플레이션 목표,0,1
대출자산,0,1
속내,0,1
물꼬,1,0
현재 같,0,2
외환선물,1,0
채권 보유,1,0
요인 반면 한은,0,1
일시적 요인,0,1
자산 운용,1,0
기분,1,0
원가경쟁력,1,1
배 높,0,1
자금시장 금일 한은,1,0
교실,0,1
신축,0,1
적수 기록,0,1
한은 RP 입찰,1,0
오후장,1,0
불안정,0,1
오전 시장 성공,0,1
기부,0,1
사례,0,1
공급,0,1
계약 순매수 사흘 매수,0,1
매년,0,1
매도 전환,1,0
기록 상승 거래,1,0
고액자산가,0,2
의류,0,1
출발 밤사이,1,0
영업이익 기록,1,0
피로감,1,0
거시 지표,3,0
기록 예상,1,0
금리 혜택,0,1
최저 낙찰 금리 최고 낙찰,0,1
체질,2,0
이후 연속,0,1
직격탄,1,0
유동화,0,1
신흥국시장,1,0
보다 구체적,1,0
토대 마련,1,0
약세 흐름 지속,2,0
미국 시장 영향,1,0
은행 계약 순매수세,1,0
관련주 상승,0,1
신흥국 글로벌,1,0
한국 오후 현재 영국 FTSE100지수,0,1
미국 금리 하락 강세,1,0
제공 투자자,1,0
구가,1,0
지속 단기,1,0
증가 건전성,1,0
필요 특히,0,2
기업 유동성,0,1
인하 기대감 상존,0,1
여파 경기,0,2
장기 집권,0,1
이번 코스피,0,1
보험료 인하 효과,1,0
당기순이익 지난해 같 기간,0,2
경상 수지 흑자 기조,1,0
기존 통화정책 유지,0,1
하락 전반,0,1
예정 최근,0,1
주식 펀드,0,1
시장 수요,1,0
불확실성 완화,2,0
전일 대비 기록 지수 전일,2,0
정보통신,1,0
정부 금리,1,1
전망 주가,0,2
합성ETF,1,0
포인트 조정,0,1
향후 동안,1,0
광,0,1
중국 주식펀드 수익률,0,1
목표 크,0,1
상황 내수,1,0
출발 외국인 선물,0,1
수급장,0,1
다양 혜택 제공,0,1
금리 대출 출시,0,1
정책 이미,0,1
운용 어렵,1,0
통화정책결정회의,1,0
보호무역,0,1
계좌 이용,0,1
재조사,2,0
자금 이용,1,0
충격 금융시장,0,1
전문가 우려,0,1
다우존스30산업평균지수 전장 포인트 하락 거래,0,2
더 은행권,1,0
부동산 실전,0,1
주 닉네임 더,1,0
기간 더,1,0
금리 인상 예고 내년,1,0
내수 반등,1,0
수출기업 부담,0,1
채권 주식 이동,1,0
고정 금리 혼합형,0,1
뉴스 가운데 아침 꼭,2,0
금리 단기간,0,1
출연금,1,0
중단 계획,1,0
토지신탁,1,0
의장 점진적,0,1
은행권 CD 금리 담합,0,1
제기 국제,1,0
이웃 나라,0,1
하락 기록 국고채권,1,0
매입 시장 유동성 공급,0,1
입찰 담합,0,1
대출 잔액 지난해,1,0
상황 더 악화,1,0
내년 가동,1,0
제도 도입 이후,1,0
캐스트,0,1
최저 금리 금리 전대미문 상품,1,0
상반기 중,1,0
유망 산업,1,0
가산 디지털 미소 오피스텔,0,1
예상 구간 선,0,1
일반 상환,1,0
대비 위안 위안 고시,0,1
자칫 시장,0,2
상위업종,1,0
안내서,0,1
상승 틱 선물계약,0,1
등급 등급 등급 등급,1,0
배 같,0,1
금리 선물시장,0,1
물가 관련 채권시장,1,0
이번 특별,0,1
신용장,0,1
달러환율 전날,0,1
일 채권 보유 운용 관련,1,0
인프라 투자 재정,1,0
기준금리 인하 신호,0,1
청정,1,0
면적 전년 동기,0,2
후 아파트,0,1
소진 조기 종료,1,0
문제 부동산,2,0
가격 제외 근원,0,3
핀테크 산업 발전,1,0
정치 안정,0,1
계약 거래일 연속,1,0
이자수익 증가,0,1
재건축 예정,0,1
아직 여유,0,1
장기채 발행,1,0
우량주 중심 지수,1,0
마감 재정환율 원엔 환율,1,0
기타 금융,0,2
결정 하락,0,2
외국인 팔자 행진,1,0
카드 자산,0,1
상승률 부진,0,1
투자 금융,1,0
글로벌 훈풍,1,0
보험료 납입면제,2,0
진행 분석,1,0
지역 지정,1,0
부동산 아파트 값,1,0
신용등급 차주,1,0
평가 한국은행,1,1
위안화 안정세,1,0
연구개발비용,0,1
양적완화 시대,1,0
발암,1,0
신청 실행,0,3
이례적 수준,1,0
환자 모집,1,0
허용 기간,0,1
독일 증시 지수 거래일,1,0
수준 급감,0,1
시장 충격 크,1,0
편의 증진,1,0
그달,0,1
빠르 미국 금리 인상,1,0
더욱 확대 전망,1,0
이상 분할상환,1,0
빈발,0,1
가능성 거래,1,0
규모 가운데,1,0
보험료 더,0,2
확산 미국 금리,0,1
크 금리 상승,1,0
시중은행 주담대,1,1
금리 가장 높 수준,1,0
지난해 포인트 인하 이후,0,1
특약 가입,1,0
약세 채권시장 약세,1,0
연체 위험,0,1
폐업 위험,0,1
교통 카드,0,1
이유 트럼프 대통령,1,0
좁 폭,2,0
투자 실행,0,1
주담대 변동,0,1
연방준비제도 예상 기준금리,1,0
외국인 국내 주식 채권,0,2
전반 안정,1,0
악재 많,0,1
은행 BIS,0,2
서비스 제외 근원,1,0
달러환율 급등,1,0
인하 전세,1,0
지수 마이너스,0,1
볼륨,1,0
접근성 강남권 재건축 주 수요,0,1
이비인후과 내과 의원,1,0
뜨겁 특히 신도시 택지지구,0,1
상권 상업용지 개발,1,0
말 최근 생활권 주목,1,0
법안 소위,1,0
기간 유지,0,1
아이스,1,0
소비자 직접,1,0
주간 기준 상승,1,0
확대 유가,0,1
스카이라운지,0,1
대비 포인트 하락 마감,0,1
분양 매매,1,0
창고 종이 목재,0,1
성장세 회복 성장,1,0
경쟁력 더,1,0
부동산시장 금리,1,0
달러 강세 미국 수출,1,0
오피스텔 실과 전용 도시형생활주택,1,0
개인 외국인 동반,0,1
정선 태백,0,2
품질관리 시스템 적용 차별화 교육,0,1
마케팅 교육 경영 운영 수익,0,1
입지 뛰어나,0,2
종합 경제 미디어,1,0
준공 분양,0,1
국채 투매,0,1
영화 관람객,0,1
유동성 환경변화,0,1
아시아 지역 경제,0,1
식물,1,0
가능성 분명,0,1
신흥국 영향,0,2
발산 역세권,1,0
관심 지역 주한 미군,1,0
층 수영장 니스,1,0
부동산시장 영향,0,2
뉴질랜드 금리,0,1
과정 기업,0,2
출시 일 현재,0,1
인상 조심,1,0
대응 방침,1,0
불편 동계 기간 빙상 경기,1,0
일부 선수단,1,0
수익 고정,1,0
국내 주식형펀드 해외 주식형펀드,0,1
내년 주식,0,1
이란 평가 최근,0,1
신청 희망,0,2
기업 도약,1,0
회장 저금리,1,0
가장 높 순,0,2
상승세 이후,0,1
주택 과잉 공급,1,0
상승 가능 금리,0,1
저축은행 카드사,0,1
미국 언론,0,1
금융시장 모니터링,0,2
주문 특히,0,1
시대 종료,0,2
점도표 내년,2,0
심사 가이드라인 시행,1,0
격차 해소,0,2
보합 유지,1,0
몰타,0,1
금리 인상 국제 금융시장,0,1
투자의견 매수 목표주가 제시,0,1
배 수익률,1,0
회의 금리 인상 결정,1,0
유럽 글로벌,0,1
대비 국제 유가,0,1
중국 같,2,0
계속 추진,1,0
많이 공급 신혼 부부,0,2
우려 급락,0,1
중국 정책당국,0,2
비롯 글로벌 경제,0,1
방 넓 거실,0,1
인기 수익형 부동산 새롭 강자,0,1
저조 수익률 내국인 고수익 외국인,1,0
서거,0,1
재테크 현황 금융상품,0,4
주택청약자격,0,1
불확실성 추가,1,0
금리동결 배경,1,0
국제통화기금 세계은행 연차,1,0
한국공인중개사협회,0,1
실당 실제 투자금액 소액,0,1
안정 월세 보장 미래,0,1
일전 없 담보대출 비율,1,0
침체 확률 상승,0,1
매크로 주간 일정 데이터 표,1,0
국고채 한국 금리,0,2
추이 연간,0,1
중심 글로벌 경제,0,1
물가 견인,0,2
폭 확대 분기,1,0
금리 달러인덱스 유로존 GDP 금리,0,2
성장률 대비 하향,0,1
한국 채권시장 팀 TGIF 채권지수,0,1
회사채 회사채 하이일드,0,1
전세계 인구,0,1
매입 제한,1,0
환율 무역,3,0
물가 연속 전년비,0,2
정부 정부 지출,0,1
투기 관리,1,0
국가 국가 국가 국가,0,1
특히 특히 특히,0,1
수주 항공기 제외,1,0
한국 GDP 한국 소비자,0,1
오름 오름 확대 확대,0,1
농축수산물 가격 오름 지속,2,0
페루 멕시코,1,0
가이던스 가이던스,1,0
배럴 펀드 자금,0,1
구리 가격 우축 톤,0,1
확정치 fed,1,0
온스 계약 옥수수 축 밀,0,2
서프라이즈 발표,1,0
다각도 시장,1,0
항목 하락,0,1
주요 지수 외국인 은행,1,0
미국 ff 선물 금리,1,0
보험 연기금 개인,2,0
경기 하락 속도,1,0
기저효과 석,1,0
영국 미국 프랑스,0,1
헝가리 인도,1,0
상하이종합지수 선전성분지수 지수 차이넥스트 주가지수,1,1
PMI 확정치 독일,0,1
높 천연가스,1,0
수도권 전국 수도권 광역시 전국,0,1
위안 기업,1,0
자금 광업,2,0
보리 부동산,2,0
소 소,0,1
브라질 소매,1,0
광공업 생산 수출입,0,1
지수 환율 약세,0,1
불확실 fed,0,1
증가 둔화 수정,1,0
금리 동결 성장률,0,2
정부 지출 건설 투자,1,0
기준 각국,1,0
성장 고정자산 투자 누적 도시,1,0
약세 금융시장,0,1
심리 유로존,0,1
비상 경제 회의 비상,1,0
행하,1,0
투기 포지션 달러인덱스 계약,0,1
도표 브라질 헤알 도표 러시아,0,1
구입 상태 그대로 나라 수출,1,0
지수 신규 주택 판매,1,0
도표 투자은행,1,0
휴무 휴무 휴무,0,2
판매 제외 핵심 소매,0,1
지수 소비자 신뢰지수 지수 기대,0,1
만기 순매도 국내 주요,1,0
전쟁 환율,1,0
전년 동기 대비 물량,0,1
금리 금리 인상 확률,1,0
랍 어떠 고객 주식,1,0
약세 마감 국고채,0,1
빈곤 인구,0,1
상쇄 상쇄,0,2
변화 MSCI 기준,0,1
비롯 원자재 가격 상승,0,1
업종 파란색 칸 수익률 하위,1,0
소비 센터 소비,0,1
표 구분 구분 구분,0,1
비율 글로벌 ETF 금 보유,0,1
금 공급,1,0
멕시코 금리 국채,0,1
압력 지수 추이 도표,0,1
통화정책 방향 결정문 비교 구분,0,1
인플레이션 식료품 에너지제외지수 초반,1,0
비제조업 지수 유로존 소매,0,1
변화 추이 중국,0,2
지속 선행 지수,1,0
펀더멘털 환경,1,0
공급망 변화,0,1
미국 CP,1,0
경기 상승 시점,1,0
건설 투자 회복,1,0
생산재,1,0
폭 상향,1,0
심리 점차,0,1
기여도 하락,1,0
기존 주택매매 경기,1,0
긴축 확대,1,0
소비 지출 명목,1,0
침체 실업률,0,1
브라질 브라질,0,1
대비 초과수익 불확실성 높,0,1
재고지수 순환변동치 한국은행 투자 증권,0,1
잔량 신규,0,1
매출 기계,0,1
임금 전월 비 상승,0,2
석유화학 수출 가격,0,1
산업통상자원부 수출 수입,1,0
미국 상회,2,0
물가 중국 소비자,1,0
중국 무역 중국,1,0
성장률 양호,0,1
실업률 실업률 경제활동참가율,1,0
고용 확산 지수,0,1
주도 흐름,1,0
비중 도표,0,1
SP500 fed,1,0
fed 비롯 주요국 중앙은행,1,0
신규 주택 착공 주택 건축허가,0,2
실적치 오차 발생 투자,0,1
소비자 물가 에너지,0,1
점감,1,1
입량,0,1
엔달러 환율 위안 루블 지수,1,0
환율 갭 위안 역외,0,2
물가 근원 소비자 물가 상승률,1,0
PMI OECD SP 지수 OECD,0,1
정책 효과 반영,0,1
소비 개선 기대,1,0
루블 매크로,0,2
위축 생각,1,0
재고 높,0,1
필요 달러원,1,0
원화 추세,0,2
지수 SP 세부지수,1,0
루블 루블 매크로,1,0
기대 인플레이션 날짜 지역,2,0
물가 상승 시작,0,1
허정 채권분석 시황,0,1
복귀 높,0,3
미국 소비자 물가 소매,1,0
구인 구인,1,0
미국 헤드라인 근원 소비자 물가,0,1
금리 추,1,0
인하 반영 fed,1,0
높 GDP 대비,0,1
추세 분명,1,0
fed 길,1,0
GDP 민간 소비 정부 지출,1,0
유로존 SP 글로벌 제조업,1,0
물가 상승률 상승률,1,0
무역 자동차 영업이익 자동차 조원,0,2
배 기준,2,0
실질 핵심 자본재,0,1
고용 파트타임 고용,0,1
증가 구인,0,1
채용 비율 배,1,0
실업 비율 구인,1,0
지수 감안,1,0
작용 금융시장,1,0
fed 상향,0,1
물가 한국 수입 물가,0,1
중국 사회 융자 총액,1,0
